	lbp_r8_p6_0	lbp_r8_p6_1	lbp_r8_p6_2	lbp_r8_p6_3	lbp_r8_p6_4	lbp_r8_p6_5	lbp_r8_p6_6	lbp_r8_p6_7	lbp_r8_p6_8	lbp_r8_p6_9	lbp_r8_p6_10	lbp_r8_p6_11	lbp_r8_p6_12	lbp_r8_p6_13
nodulo0.png	41.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo13.png	102.0	77.0	4.0	25.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo17.png	119.0	112.0	40.0	23.0	26.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo20.png	130.0	104.0	42.0	27.0	25.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo24.png	123.0	131.0	43.0	16.0	37.0	1.0	3.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
nodulo28.png	133.0	105.0	89.0	20.0	71.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
nodulo31.png	122.0	91.0	96.0	16.0	41.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo35.png	107.0	103.0	88.0	15.0	45.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo39.png	36.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo6.png	82.0	77.0	11.0	4.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo10.png	98.0	74.0	18.0	21.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo14.png	106.0	93.0	13.0	20.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo18.png	119.0	104.0	52.0	31.0	28.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo21.png	117.0	101.0	40.0	35.0	23.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo25.png	129.0	142.0	64.0	21.0	52.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0
nodulo29.png	130.0	105.0	74.0	18.0	63.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo32.png	120.0	89.0	123.0	12.0	42.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo36.png	86.0	99.0	66.0	4.0	23.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
nodulo3.png	78.0	34.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo7.png	97.0	55.0	13.0	21.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo11.png	113.0	53.0	1.0	37.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo15.png	126.0	67.0	14.0	37.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo19.png	117.0	87.0	36.0	44.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo22.png	126.0	105.0	61.0	23.0	30.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo26.png	137.0	101.0	63.0	25.0	36.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo2.png	63.0	19.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo33.png	117.0	98.0	100.0	11.0	53.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo37.png	60.0	91.0	54.0	2.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo4.png	69.0	34.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo8.png	100.0	66.0	22.0	25.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo12.png	121.0	64.0	3.0	22.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo16.png	106.0	93.0	28.0	44.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo1.png	43.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo23.png	125.0	117.0	30.0	18.0	22.0	1.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo27.png	127.0	115.0	82.0	18.0	39.0	1.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo30.png	127.0	103.0	78.0	17.0	53.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo34.png	120.0	85.0	94.0	8.0	43.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo38.png	48.0	52.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo5.png	85.0	70.0	18.0	18.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nodulo9.png	100.0	65.0	13.0	13.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
